City,Country,Date,Lat,Long,Temp,Humidity,Cloudiness,Wind Speed
Lokosovo,RU,1510982344,61.13,74.82,18.71,93,76,4.23
Atuona,PF,1510982346,-9.8,-139.03,77.26,100,92,16.2
Reserva,BR,1510982347,-24.65,-50.85,64.25,99,92,2.59
Kongsberg,NO,1510980600,59.67,9.65,35.6,80,0,8.05
Kerman,IR,1510977600,30.28,57.08,32.0,39,0,6.93
Ballyhaunis,IE,1510982352,53.77,-8.77,42.16,100,100,2.59
Tuktoyaktuk,CA,1510981200,69.45,-133.04,-2.21,84,90,4.7
Pocone,BR,1510982355,-16.26,-56.62,75.73,80,0,7.74
Clyde River,CA,1510981200,70.47,-68.59,-18.41,68,1,2.24
Kingaroy,AU,1510982358,-26.53,151.83,64.07,94,92,8.52
Alpena,US,1510979760,45.06,-83.43,36.21,93,90,3.36
Wembley,CA,1510981200,55.15,-119.14,-5.81,83,40,4.7
Atyrau,KZ,1510979400,47.12,51.88,24.8,100,0,2.24
Baikunthpur,IN,1510982364,23.25,82.55,76.99,85,0,4.5
Roma,AU,1510982365,-26.58,148.78,71.68,83,80,7.81
Yatou,CN,1510982367,37.15,122.38,38.33,84,76,18.7
Dalvik,IS,1510977600,65.97,-18.53,24.8,85,40,3.36
Mozarlandia,BR,1510982370,-14.74,-50.57,69.56,90,36,5.06
Rawlins,US,1510980900,41.79,-107.24,25.57,79,90,11.41
Butaritari,KI,1510982373,3.07,172.79,81.8,100,92,5.61
Tendukheda,IN,1510982375,23.4,79.55,78.34,65,64,1.7
Lensk,RU,1510982376,60.73,114.93,-9.28,82,36,9.53
Chapleau,CA,1510982378,47.84,-83.4,32.57,99,92,5.12
Zdunska Wola,PL,1510981200,51.6,18.94,35.6,93,75,2.24
Taupo,NZ,1510982082,-38.68,176.08,57.5,57,80,13.96
Zabid,YE,1510982382,14.2,43.32,80.68,33,0,5.57
Kasongo-Lunda,CD,1510982383,-6.47,16.82,68.26,98,92,3.22
Ashington,GB,1510980600,55.16,-1.59,43.09,81,20,17.22
Fereydun Kenar,IR,1510977600,36.69,52.52,53.96,93,0,4.05
Sangin,AF,1510982388,32.07,64.84,51.65,94,0,3.33
Maksatikha,RU,1510982390,57.8,35.88,34.51,95,88,12.62
Maniitsoq,GL,1510982391,65.42,-52.9,13.0,100,48,9.26
Okha,RU,1510982393,53.57,142.95,8.23,100,0,6.24
Ambilobe,MG,1510982394,-13.2,49.05,81.17,66,44,2.89
Catarman,PH,1510982396,9.13,124.68,83.96,85,24,3.83
Vendome,FR,1510981200,47.8,1.07,43.52,100,90,2.04
Masallatah,LY,1510982399,32.62,14.0,51.25,93,0,12.66
Ariogala,LT,1510980600,55.27,23.47,33.8,97,90,9.17
Fukue,JP,1510982402,32.69,128.84,56.11,100,24,35.54
Bull Savanna,JM,1510982404,17.89,-77.59,72.31,86,24,6.35
Jardim,BR,1510981200,-3.46,-39.06,78.8,74,40,11.41
Dombarovskiy,RU,1510982407,50.76,59.54,28.75,93,0,10.76
Belaya Gora,RU,1510982408,68.53,146.42,-5.41,84,80,4.72
Berdigestyakh,RU,1510982410,62.1,126.7,-10.27,52,56,3.71
Awjilah,LY,1510982411,29.11,21.29,44.27,61,0,3.04
Okuchi,JP,1510977600,32.07,130.62,60.8,63,40,13.87
Falun,SE,1510980600,60.6,15.63,37.4,93,64,3.36
Pudozh,RU,1510982416,61.81,36.53,35.0,91,88,14.63
Chor,PK,1510982417,25.52,69.77,69.56,83,0,7.36
Cienaga,CO,1510977600,11.01,-74.25,75.94,94,75,9.17
Paamiut,GL,1510982420,61.99,-49.67,31.09,100,48,9.42
Xixiang,CN,1510982421,35.16,112.86,34.06,46,48,3.83
Kronshtadt,RU,1510979400,59.99,29.77,41.0,86,75,13.42
Nova Olimpia,BR,1510982133,-14.8,-57.29,73.03,95,8,5.23
Odesskoye,RU,1510982426,54.21,72.97,33.88,98,92,9.93
Doume,CM,1510982427,4.23,13.45,68.12,97,88,2.26
Bima,ID,1510982429,-8.47,118.72,84.95,82,12,2.33
Pangai,TO,1510981200,-19.8,-174.35,80.6,88,75,6.93
Sangmelima,CM,1510982432,2.93,11.98,67.76,99,92,2.55
Hilo,US,1510977360,19.73,-155.09,60.21,78,75,5.39
Flin Flon,CA,1510982435,54.77,-101.86,7.06,90,8,7.36
Xalpatlahuac,MX,1510982436,17.47,-98.62,52.06,94,24,1.99
Kpandae,GH,1510982438,8.47,-0.01,74.56,93,0,5.35
Melipilla,CL,1510977600,-33.7,-71.22,60.8,44,0,14.99
Gualaquiza,EC,1510982441,-3.4,-78.55,59.75,90,32,2.21
Itoman,JP,1510980960,26.12,127.67,73.98,73,75,17.22
Jalingo,NG,1510982444,8.88,11.37,71.63,59,0,3.89
Baykit,RU,1510982446,61.67,96.37,-10.86,69,76,3.71
Ha Tinh,VN,1510982447,18.33,105.9,76.76,100,100,11.05
Buwenge,UG,1510982449,0.64,33.17,72.13,94,56,4.34
Nancha,CN,1510982450,47.13,129.27,1.93,38,32,5.79
Scarborough,GB,1510980600,54.28,-0.4,45.59,87,12,5.82
Attendorn,DE,1510980600,51.13,7.9,36.41,95,75,14.99
Bagdarin,RU,1510982454,54.43,113.6,-0.78,39,0,4.38
Tarut,SA,1510979400,26.57,50.04,70.34,53,40,4.7
Umm Kaddadah,SD,1510982458,13.6,26.69,73.21,29,0,3.22
Zwedru,LR,1510982459,6.07,-8.13,70.91,97,76,4.05
Dawei,MM,1510982461,14.08,98.2,84.77,80,12,2.82
Khorinsk,RU,1510982462,52.17,109.77,14.35,56,48,4.72
Altamira,MX,1510980180,22.4,-97.92,77.0,83,20,6.93
Maturin,VE,1510982465,9.75,-63.18,76.76,90,0,5.57
Yelizovo,RU,1510979400,53.19,158.38,33.8,55,56,8.95
Lewistown,US,1510980840,47.06,-109.43,28.4,63,1,13.87
Lokoja,NG,1510982470,7.8,6.74,76.09,85,12,8.25
Kirkenaer,NO,1510982472,60.46,12.06,24.43,83,8,2.26
Horadiz,AZ,1510982474,39.45,47.34,49.54,100,92,4.23
Valguarnera Caropepe,IT,1510980900,37.5,14.39,50.77,93,20,6.93
Vestmannaeyjar,IS,1510982476,63.44,-20.27,30.46,100,20,9.82
Tikrit,IQ,1510982478,34.61,43.68,56.42,59,12,5.79
Mairi,BR,1510982479,-11.71,-40.15,63.31,96,56,3.0
Preeceville,CA,1510982481,51.95,-102.67,6.16,76,76,6.85
Itatskiy,RU,1510982482,56.07,89.04,27.26,89,56,9.53
Sira,IN,1510982484,13.75,76.91,80.45,75,76,4.05
Tomari,RU,1510982486,47.77,142.07,28.3,100,88,22.84
Menongue,AO,1510982487,-14.66,17.69,73.21,43,0,3.71
Lulea,SE,1510980600,65.58,22.15,21.2,92,90,9.17
Shklo,UA,1510979400,49.96,23.54,33.8,100,90,4.38
Vanimo,PG,1510982491,-2.67,141.3,85.0,100,8,13.85
Vilyuysk,RU,1510982493,63.76,121.62,-5.91,71,48,4.12
Magaria,NE,1510982494,13.0,8.91,69.11,37,0,10.38
Motegi,JP,1510977600,36.52,140.18,50.0,76,90,9.17
Plastun,RU,1510982497,44.76,136.29,12.46,52,36,9.08
Liepaja,LV,1510980600,56.52,21.02,45.63,75,92,17.22
Concarneau,FR,1510981200,47.88,-3.92,38.08,100,90,3.36
Tome,CL,1510977600,-36.62,-72.95,48.2,81,0,4.7
Qiqihar,CN,1510982504,47.34,123.97,8.68,87,0,8.75
Konibodom,TJ,1510979400,40.28,70.44,44.6,70,20,4.47
Cangucu,BR,1510982507,-31.39,-52.68,61.28,97,88,4.9
Mgandu,TZ,1510982508,-5.95,34.13,72.98,60,0,10.6
Izhma,RU,1510982509,65.01,53.91,21.95,80,80,6.73
Nova Vicosa,BR,1510982511,-17.89,-39.37,70.01,97,24,6.13
Brantford,CA,1510981200,43.13,-80.27,32.04,92,90,6.93
Lebedinyy,RU,1510982514,58.52,125.52,-9.37,48,44,6.06
Ban Dung,TH,1510977600,17.7,103.26,89.6,59,0,6.93
Tiksi,RU,1510982517,71.69,128.87,8.45,87,64,12.44
Posse,BR,1510982518,-14.09,-46.37,68.03,91,68,3.27
Putina,PE,1510982520,-15.47,-69.43,51.2,100,88,12.77
Bloemfontein,ZA,1510981200,-29.12,26.21,51.8,26,0,2.24
Bambous Virieux,MU,1510981200,-20.34,57.76,80.6,78,40,11.41
Hope,CA,1510981200,49.38,-121.44,41.0,93,90,4.7
Sabya,SA,1510977600,17.15,42.63,77.0,73,20,8.05
Shieli,KZ,1510982527,44.17,66.75,38.78,81,92,9.82
Aswan,EG,1510982528,24.09,32.91,70.01,72,56,4.12
Bandarbeyla,SO,1510982530,9.49,50.81,81.26,100,24,22.35
Masvingo,ZW,1510977600,-20.06,30.83,62.6,88,75,6.93
Amursk,RU,1510982533,50.23,136.9,4.67,85,44,4.12
Gharghoda,IN,1510982534,22.17,83.35,81.85,73,8,6.62
Kendari,ID,1510982536,-3.94,122.5,85.76,82,64,4.0
Vulcanesti,MD,1510982537,45.68,28.4,42.02,100,92,6.85
Lidkoping,SE,1510980600,58.51,13.16,41.94,93,56,14.99
Freeport,BS,1510982541,26.53,-78.7,75.86,100,88,13.78
Sur,OM,1510982542,22.57,59.53,78.16,97,0,3.56
Pak Phanang,TH,1510977600,8.35,100.2,89.6,70,40,3.36
Mercedes,AR,1510982545,-29.18,-58.08,60.56,67,12,13.4
Cobija,BO,1510982547,-11.03,-68.77,76.58,85,64,2.1
Wajir,KE,1510982548,1.75,40.06,87.65,41,0,8.03
Hofn,IS,1510982550,64.25,-15.21,37.03,100,92,15.97
Ust-Barguzin,RU,1510982551,53.45,108.98,10.07,95,20,2.77
Banswara,IN,1510982553,23.55,74.45,81.04,59,0,8.63
Auki,SB,1510982554,-8.77,160.7,82.52,100,24,5.06
Scalea,IT,1510982555,39.81,15.8,57.05,100,0,6.73
Mayo,CA,1510981200,63.59,-135.9,-11.21,76,75,3.36
Bolotnoye,RU,1510982558,55.67,84.4,28.88,93,92,11.83
Leshukonskoye,RU,1510982560,64.9,45.76,30.41,89,80,6.06
Izumrud,RU,1510979400,57.08,61.4,28.4,92,75,6.71
Mwingi,KE,1510982563,-0.93,38.06,67.54,95,92,3.89
Mariental,NA,1510977600,-24.63,17.97,59.0,22,0,3.36
Nongan,CN,1510977600,44.38,125.17,15.8,33,0,11.18
Changji,CN,1510979400,44.02,87.32,33.8,100,75,2.24
Ocos,GT,1510982569,14.51,-92.19,81.35,100,68,3.6
Ancud,CL,1510982571,-41.87,-73.82,40.13,90,64,2.89
Khashuri,GE,1510982572,41.99,43.6,39.86,88,24,4.23
Berbera,SO,1510982574,10.44,45.01,70.28,79,80,4.23
Luderitz,NA,1510977600,-26.65,15.16,57.2,62,0,14.99
Dong Xoai,VN,1510982577,11.53,106.92,85.31,82,44,4.72
Tabuk,SA,1510977600,28.38,36.58,57.2,33,0,5.82
Atikokan,CA,1510982580,48.76,-91.62,26.68,91,56,6.35
Kon Tum,VN,1510982581,14.35,108.0,85.9,57,8,2.55
Salym,RU,1510982583,60.06,71.48,21.32,87,76,3.71
Borba,BR,1510982584,-4.39,-59.59,76.54,94,0,2.04
Perg,AT,1510980600,48.25,14.63,37.4,93,75,3.36
Mani,CO,1510982587,4.82,-72.29,75.46,89,36,2.55
Kirensk,RU,1510982589,57.79,108.11,-0.19,63,48,3.33
Ajdabiya,LY,1510982481,30.76,20.23,48.32,79,0,7.4
Kanchanaburi,TH,1510982474,14.0,99.55,91.88,71,0,4.34
Maracacume,BR,1510982593,-2.04,-45.96,73.7,89,0,4.23
Marevo,RU,1510982594,57.31,32.08,35.45,90,80,14.41
Alihe,CN,1510982596,50.57,123.72,-0.55,42,0,7.63
Yabrud,SY,1510977600,33.97,36.66,46.4,42,0,4.7
Hvide Sande,DK,1510980600,56.0,8.13,43.63,81,92,18.34
Hohhot,CN,1510977600,40.81,111.65,19.4,31,0,6.71
Tena,EC,1510982602,-0.98,-77.82,60.92,95,68,4.72
Pyapon,MM,1510982603,16.28,95.68,90.62,77,12,4.27
Santa Rosa,BO,1510982605,-14.17,-66.88,75.91,87,68,4.5
Enid,US,1510980960,36.4,-97.88,72.82,40,1,23.04
Kysyl-Syr,RU,1510982608,63.9,122.76,-6.81,74,56,2.82
Iraquara,BR,1510982322,-12.25,-41.62,64.16,93,64,6.73
Diapaga,BF,1510982611,12.07,1.79,67.58,40,12,6.62
Buraydah,SA,1510977600,26.33,43.98,57.2,47,0,3.36
Necochea,AR,1510982613,-38.55,-58.74,48.5,96,64,16.08
Srednekolymsk,RU,1510982545,67.45,153.68,-2.13,82,80,4.83
Labelle,CA,1510982616,46.28,-74.73,13.13,75,64,3.0
Viransehir,TR,1510982617,37.24,39.76,50.03,56,0,3.71
Araouane,ML,1510982619,18.9,-3.53,59.93,17,92,8.52
Takanabe,JP,1510977600,32.13,131.5,64.4,77,75,4.7
Caranavi,BO,1510982622,-15.82,-67.55,68.21,92,92,0.76
Lepley,RU,1510982623,54.31,42.86,32.57,96,92,10.76
Vryheid,ZA,1510982625,-27.77,30.79,58.9,53,0,7.92
Pachora,IN,1510982626,20.67,75.35,81.76,51,0,6.51
Kishtwar,IN,1510982628,33.32,75.77,32.48,66,68,1.99
Smolenka,RU,1510979400,52.14,113.5,10.4,55,0,8.95
Gizo,SB,1510982631,-8.1,156.84,84.86,100,12,3.49
Riyadh,SA,1510977600,24.69,46.72,57.2,33,0,2.24
Arroio Grande,BR,1510982540,-32.24,-53.09,66.23,100,0,7.4
Karasjok,NO,1510980600,69.47,25.51,19.4,92,76,4.7
Zyryanka,RU,1510982636,65.75,150.85,-4.69,80,68,8.52
Nianzishan,CN,1510982637,47.52,122.88,8.27,80,12,3.27
Port Blair,IN,1510982639,11.67,92.75,84.1,100,56,8.75
Ciudad Bolivar,VE,1510982562,8.12,-63.55,77.57,85,0,10.94
Rupert,US,1510980780,42.62,-113.68,29.57,80,1,12.75
Krupina,SK,1510981200,48.36,19.06,37.4,100,90,2.37
San Clemente,PE,1510981200,-13.67,-76.15,62.6,88,0,3.36
Santa Maria,CV,1510981200,16.6,-22.9,73.4,83,75,8.05
Wewak,PG,1510982647,-3.55,143.63,85.63,79,12,3.71
Kabanjahe,ID,1510979400,3.1,98.49,86.0,70,40,2.24
Luganville,VU,1510982650,-15.53,167.17,81.71,96,68,9.93
Muzhi,RU,1510982652,65.37,64.67,15.11,92,92,3.89
Bhayavadar,IN,1510982653,21.85,70.25,83.33,28,0,12.88
Tuni,IN,1510982655,17.35,82.55,82.88,91,0,5.84
Tralee,IE,1510982656,52.27,-9.7,50.44,97,92,9.64
Novopavlovka,RU,1510982658,51.22,109.21,15.79,62,88,5.79
Serabu,SL,1510982659,7.8,-12.05,71.9,97,8,2.55
Ariquemes,BR,1510982432,-9.91,-63.04,76.54,90,68,2.1
Tsiroanomandidy,MG,1510982662,-18.77,46.03,75.05,88,0,4.05
Port Lincoln,AU,1510982664,-34.73,135.87,69.25,72,0,12.17
Caapucu,PY,1510982665,-26.22,-57.2,68.03,100,100,7.58
Weiser,US,1510982667,44.25,-116.97,28.93,76,80,2.26
Jiehu,CN,1510982668,35.54,118.45,41.53,28,0,7.25
Shimonoseki,JP,1510979400,33.95,130.95,55.4,62,75,20.8
Neringa,LT,1510980600,55.37,21.06,41.5,70,75,9.17
Lakes Entrance,AU,1510982672,-37.88,147.98,73.07,65,8,10.65
Jumla,NP,1510982674,29.27,82.18,35.05,93,68,0.69
Nampula,MZ,1510981200,-15.12,39.27,77.0,83,75,4.7
Isangel,VU,1510982677,-19.55,169.27,74.65,100,12,11.32
Novo Aripuana,BR,1510982678,-5.12,-60.38,77.3,89,0,2.04
Pampa,US,1510980900,35.54,-100.96,66.7,38,1,13.87
Alice Springs,AU,1510981200,-23.7,133.88,96.8,16,0,9.17
Almeirim,BR,1510982683,-1.52,-52.58,82.25,67,12,5.61
Elblag,PL,1510981200,54.15,19.41,37.4,86,0,13.87
Nuevo Progreso,MX,1510982686,23.17,-97.95,75.95,100,68,13.78
Duldurga,RU,1510982687,50.68,113.59,12.01,40,56,9.82
Nassau,BS,1510981200,25.06,-77.34,77.0,61,20,4.7
Tete,MZ,1510981200,-16.16,33.59,73.4,83,75,8.05
High Prairie,CA,1510982692,55.43,-116.49,12.41,79,24,7.02
Arnoldstein,AT,1510981200,46.55,13.71,39.2,93,75,1.12
Wailuku,US,1510980960,20.89,-156.5,70.7,78,90,3.36
Gursu,TR,1510980600,40.22,29.19,42.8,100,12,2.24
Itamarandiba,BR,1510982698,-17.86,-42.86,62.27,95,12,3.83
Satna,IN,1510982699,24.58,80.83,80.9,65,0,5.01
Baiyin,CN,1510977600,36.56,104.21,33.8,37,0,4.47
Severodvinsk,RU,1510979400,64.56,39.83,33.8,100,90,8.95
Puri,IN,1510979400,19.8,85.85,78.8,78,90,6.93
Tacna,PE,1510981200,-18.01,-70.25,60.87,82,0,3.36
Port Hardy,CA,1510981200,50.7,-127.42,41.0,86,90,4.7
Salvador,BR,1510982417,-12.97,-38.51,77.89,100,92,9.31
Yangambi,CD,1510982709,0.81,24.43,72.58,98,88,3.11
Astoria,US,1510980900,46.19,-123.83,42.8,93,1,5.82
Meybod,IR,1510979400,32.25,54.02,46.4,31,0,2.24
Am Timan,TD,1510982714,11.03,20.28,82.07,44,48,3.11
Tanout,NE,1510982715,14.97,8.89,66.55,35,0,9.75
Chambishi,ZM,1510982717,-12.63,28.05,66.28,95,80,9.64
Passagem Franca,BR,1510982718,-6.18,-43.78,70.37,95,92,2.04
